"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Dillon Brooks","Hou","G-F","28.9","23","30.7","16.9","8.3","34","0.824","129","0.457","124","0.379","0.512","0.536","12.5","3.5","1.4","0.6","0.2","1","16","13.9","17.4","5.1","111.5","101.6"
"","D'Angelo Russell","Lal","G","28.8","21","27.4","21.3","14.1","39","0.872","105","0.524","120","0.325","0.504","0.539","12.4","2.5","4.8","1","0.1","1.8","15","17.2","19.7","7.7","108.1","114.9"
"","Keegan Murray","Sac","F","24.3","23","37","15.4","8.6","31","0.839","135","0.541","129","0.279","0.481","0.504","12.2","7.9","1.6","0.7","0.8","1.1","20","13.8","21.7","5.8","108.2","109.4"
"","Caris LeVert","Cle","G","30.3","17","24.2","18.8","14.2","41","0.683","74","0.568","65","0.477","0.637","0.653","12.1","2.9","4.1","0.9","0.4","1.4","15","16.2","19.1","8.7","127.5","110.7"
"","Rui Hachimura","Lal","F","26.8","17","31.6","15.2","6.4","32","0.844","101","0.495","60","0.433","0.553","0.585","12.1","5.2","1.8","0.8","0.5","0.6","17.2","13.8","19","6.1","122.8","115.5"
"","Deni Avdija","Por","F","23.9","22","26.9","20","18.2","79","0.797","122","0.467","84","0.345","0.488","0.548","12","6","3.2","1.1","0.8","2.1","18","15.2","21.1","9.1","108.8","110.7"
"","Brandon Boston Jr.","Nor","G","23","20","27.9","19.4","13.5","45","0.844","125","0.504","80","0.313","0.49","0.532","12","3.8","3.6","1.6","0.3","1.6","15.8","15.6","19.4","7.9","108.8","115.6"
"","Jaylen Wells","Mem","F","21.3","23","24.9","18.8","12","41","0.78","103","0.534","116","0.388","0.559","0.584","12","3.5","1.8","0.4","0.2","1.3","15.5","13.8","17.3","6.8","112.7","109.2"
"","Brook Lopez","Mil","C","36.7","21","32.9","14.9","10.5","32","0.719","82","0.634","114","0.36","0.579","0.595","11.9","5","1.8","1.2","2.4","1.1","17","13.7","18.8","5.8","116.7","109.3"
"","Jonas Valanciunas","Was","C","32.6","20","19.6","23.2","16.3","51","0.902","156","0.596","8","0.25","0.585","0.638","11.9","7.6","2.1","0.4","0.7","1.6","19.5","14","21.6","11.7","120.9","113"
"","Nick Richards","Cha","C","27","8","27","16.6","19.6","42","0.69","52","0.635","1","0","0.623","0.665","11.9","9.8","1.9","0.5","2.1","1.6","21.6","13.8","23.5","9","128.2","104.3"
"","Josh Giddey","Chi","G","22.2","23","27","21.1","20.1","58","0.69","149","0.503","81","0.346","0.509","0.536","11.9","6.2","6.7","0.7","0.4","2.5","18.1","18.7","24.9","11.7","111.2","115.4"
"","Tyus Jones","Pho","G","28.6","21","32.3","15","9.8","14","0.786","91","0.571","111","0.396","0.584","0.593","11.8","2.7","7","1.1","0.1","1","14.5","18.8","21.5","7.5","130.9","117.1"
"","Julian Champagnie","San","F","23.4","22","29.1","16.5","10.3","31","0.903","60","0.633","149","0.349","0.555","0.584","11.8","5.2","1.6","0.9","0.6","1.1","17","13.4","18.6","6.3","113.1","111.5"
"","Bilal Coulibaly","Was","G","20.4","19","34.6","15.5","16.9","62","0.774","120","0.525","61","0.279","0.489","0.54","11.8","5.4","3","1.4","0.6","1.9","17.2","14.8","20.2","6.7","105.5","118.2"
"","Russell Westbrook","Den","G","36.1","20","24.1","24.6","18.9","75","0.667","126","0.405","75","0.36","0.455","0.498","11.7","3.8","5.9","1.4","0.6","2.4","15.5","17.5","21.3","10.6","104.7","107"
"","Jrue Holiday","Bos","G","34.5","19","31.2","16.4","14.7","33","0.909","83","0.578","96","0.333","0.536","0.574","11.7","4.2","3.9","0.8","0.3","1.6","15.9","15.6","19.8","7.4","117.8","111.1"
"","Ochai Agbaji","Tor","G","24.6","23","31.3","13.2","9.5","20","0.7","108","0.574","91","0.484","0.643","0.65","11.7","4.3","2.1","1","0.6","0.9","16","13.8","18.1","6","126.1","112.6"
"","Scoot Henderson","Por","G","20.8","16","26.5","22.8","22.8","44","0.75","116","0.457","50","0.32","0.464","0.504","11.7","2.9","5.4","0.9","0.1","3.1","14.6","17.1","20","8.6","99.5","112.2"
"","Zaccharie Risacher","Atl","F","19.7","23","24.1","21.2","9.8","60","0.683","132","0.508","107","0.29","0.475","0.505","11.7","3.6","1.3","0.9","0.7","1.1","15.2","13","16.5","6.3","102.6","110.5"
"","Bogdan Bogdanovic","Atl","G","32.3","9","24.9","20","14.2","14","1","31","0.484","59","0.339","0.5","0.541","11.6","3.4","2.2","1.1","0.3","1.7","15","13.8","17.2","7.1","104.2","107.1"
"","Naji Marshall","Dal","F","26.9","20","24.1","18.8","14.5","34","0.882","120","0.65","51","0.294","0.588","0.621","11.6","3.4","2.4","1","0.1","1.5","14.9","14","17.3","7.6","119.8","109.9"
"","Amen Thompson","Hou","G-F","21.8","23","26.4","17.5","17.8","90","0.689","153","0.582","27","0.296","0.561","0.601","11.5","7","1.9","1.1","0.9","1.7","18.4","13.4","20.3","8.1","116.1","98.5"
"","Stephon Castle","San","G","20.1","22","27","21.8","14.5","75","0.733","138","0.449","91","0.275","0.434","0.485","11.5","2.5","3.8","0.8","0.5","1.8","14","15.3","17.8","7.1","101.7","112.9"
"","Ty Jerome","Cle","G-F","27.4","22","18.5","22","15.2","38","0.895","95","0.621","67","0.493","0.67","0.702","11.4","2","3.5","1.3","0","1.3","13.4","14.9","16.9","9.3","132","106"
"","Jabari Smith Jr.","Hou","F","21.6","23","29.8","14.9","6.1","45","0.867","107","0.514","109","0.349","0.519","0.558","11.4","6.8","0.8","0.3","0.9","0.6","18.3","12.3","19.1","5.3","119.8","101.8"
"","Isaiah Hartenstein","Okc","C-F","26.6","7","29.7","17.2","17.1","18","0.556","60","0.583","3","0","0.556","0.564","11.4","12.9","4.4","0.7","1.4","1.9","24.3","15.9","28.7","11.6","117.1","90.2"
"","Tari Eason","Hou","F","23.6","22","22.9","19.9","8.8","43","0.767","140","0.557","66","0.303","0.524","0.554","11.3","6.5","1.1","2.1","1","0.9","17.8","12.4","18.9","7.6","116.2","94.4"
"","Miles McBride","Nyk","G","24.2","17","25.6","17.3","9.9","22","0.909","60","0.5","85","0.435","0.59","0.617","11.2","2.6","2.8","0.9","0.2","0.9","13.8","14","16.6","6.8","124.2","111.8"
"","Onyeka Okongwu","Atl","F-C","24","21","23.7","17.1","10.2","57","0.807","129","0.636","38","0.211","0.563","0.609","11.1","6.5","1.6","0.7","0.7","0.9","17.7","12.8","19.3","8.2","124.9","108.7"
"","Zach Edey","Mem","C","22.6","14","20.1","20.4","17.9","33","0.667","95","0.611","10","0.6","0.638","0.653","11.1","6.9","0.8","0.9","1","1.6","18.1","11.9","18.9","7.8","118.3","95.5"
"","Dalton Knecht","Lal","F","23.6","22","24.2","17.4","5.4","22","0.773","72","0.583","119","0.403","0.597","0.61","11.1","3.4","1.1","0.5","0","0.5","14.5","12.3","15.6","5.7","119.6","115.6"
"","Harrison Barnes","San","F","32.5","22","28.5","14.4","9.4","65","0.815","93","0.527","71","0.423","0.573","0.626","11","4.6","1.5","0.3","0.2","0.8","15.6","12.5","17.1","5.9","128.2","116.6"
"","Scotty Pippen Jr.","Mem","G","24.1","23","23.7","20.2","18.3","48","0.75","135","0.533","70","0.343","0.527","0.557","11","3.7","5.3","1.1","0.3","2","14.7","16.3","20","10.1","112.8","102.1"
"","Corey Kispert","Was","F","25.8","19","27.6","17.1","10.2","24","0.833","72","0.569","112","0.313","0.508","0.532","10.9","3.4","1.5","0.6","0.2","1.1","14.3","12.4","15.8","5.5","101.8","120.7"
"","Walker Kessler","Uta","C","23.4","15","28.8","13","18.1","41","0.585","95","0.737","0","0","0.737","0.725","10.9","10.5","1.3","0.5","2.8","1.4","21.4","12.3","22.7","7.4","132.9","112"
"","Dorian Finney-Smith","Bro","F","31.6","15","29","15","11.6","18","0.611","39","0.564","83","0.422","0.611","0.616","10.7","4.3","1.8","0.9","0.5","1.1","14.9","12.5","16.7","6","119.7","109.8"
"","Jose Alvarado","Nor","G","26.7","11","25.6","18.4","12.1","17","0.824","41","0.39","60","0.4","0.515","0.544","10.7","2.2","4.5","1.5","0.3","1.3","12.9","15.2","17.4","7.4","115.7","113.5"
"","Rudy Gobert","Min","C","32.4","21","34.1","11.8","21.2","71","0.789","126","0.659","0","0","0.659","0.706","10.6","11.1","2.1","0.7","1.5","1.6","21.7","12.7","23.8","7.4","135","101.8"
"","Grayson Allen","Pho","G","29.2","17","23.5","19.3","12","39","0.821","35","0.543","104","0.356","0.536","0.58","10.6","2.9","1.8","0.6","0.4","1.1","13.5","12.5","15.4","6.5","111.8","113.6"
"","Alexandre Sarr","Was","C","19.6","20","26.8","19.9","11.8","44","0.659","121","0.479","88","0.25","0.435","0.462","10.6","6.3","2","0.8","1.9","1.4","16.9","12.6","18.9","7.6","97.2","114.4"
"","Clint Capela","Atl","C","30.6","23","22.8","17.1","9.4","48","0.563","183","0.585","0","0","0.585","0.59","10.5","9.5","1.3","0.7","0.9","0.8","20","11.8","21.3","8.9","123.9","106.7"
"","Chris Paul","San","G","39.6","22","28.8","15.7","17.5","33","1","64","0.563","115","0.357","0.545","0.589","10.4","3.7","8.3","1.4","0.2","1.7","14.1","18.6","22.4","9.5","127.6","109.8"
"","T.J. McConnell","Ind","G","32.7","22","19.6","23.4","16.1","23","0.739","179","0.575","8","0.25","0.567","0.581","10.4","2.6","3.9","1.3","0.2","1.6","13","14.3","17","9.6","111.8","114.7"
"","Derrick Jones Jr.","Lac","F","27.8","24","25.6","16.4","12.3","31","0.871","121","0.545","72","0.417","0.575","0.602","10.4","3.5","1","1.3","0.2","1.1","13.9","11.3","14.8","5.2","114.4","104.4"
"","Grant Williams","Cha","F","26","16","29.9","14.8","18.5","37","0.838","49","0.551","74","0.365","0.549","0.596","10.4","5.1","2.3","1.1","0.8","1.8","15.5","12.7","17.8","6.6","113.7","108.6"
"","De'Anthony Melton","Gol","G","26.5","6","20.2","23.1","15.6","8","0.5","19","0.474","35","0.371","0.528","0.53","10.2","3.3","2.8","1.2","0.3","1.7","13.5","13","16.3","9","104.1","96.4"
"","Duncan Robinson","Mia","F","30.6","19","22.2","20.6","8.3","13","0.769","52","0.462","125","0.36","0.517","0.528","10.2","2.3","2.2","0.5","0.2","0.8","12.4","12.4","14.6","6.7","107.5","107.4"
"","Amir Coffey","Lac","G-F","27.5","24","24","15.9","8.7","39","0.846","85","0.541","93","0.43","0.596","0.628","10.2","2.6","1.3","0.6","0","0.7","12.8","11.5","14.1","5.4","123.9","109.3"
"","Dalano Banton","Por","F","25.1","20","16.8","27.1","17.5","48","0.667","98","0.469","67","0.388","0.515","0.543","10.1","2.4","2.6","1","0.6","1.8","12.5","12.7","15","9.5","104.4","112.8"
"","Royce O'Neale","Pho","F","31.5","21","25.4","16.5","10.5","19","0.737","58","0.448","113","0.425","0.573","0.585","10","6","2","1","0.7","1","16","12","18","7.8","116.7","107"
"","Chris Boucher","Tor","F","31.9","23","17.9","22.2","8","51","0.765","96","0.615","87","0.276","0.519","0.557","10","4.5","0.7","0.5","0.7","0.7","14.4","10.6","15.1","7.1","114","112"
"","Guerschon Yabusele","Phi","F","29","20","24.6","17.1","15.2","31","0.581","69","0.58","81","0.407","0.597","0.602","9.9","5.9","2","0.7","0.5","1.4","15.8","11.8","17.7","7.9","116.7","104.6"
"","Patrick Williams","Chi","F","23.3","15","28.9","16.7","17.9","25","0.84","62","0.355","71","0.394","0.481","0.517","9.9","5","2.3","1","0.5","1.9","14.9","12.3","17.3","6.7","98.4","117.4"
"","Jaden McDaniels","Min","F","24.2","21","29.8","15.7","11.4","26","0.692","107","0.551","80","0.3","0.508","0.524","9.9","3.7","1.8","1.1","0.8","1.1","13.6","11.7","15.4","5.4","105.9","102.8"
"","Marcus Smart","Mem","G","30.8","13","21.5","20.9","20.7","35","0.829","38","0.474","65","0.323","0.481","0.541","9.8","2.5","4.5","1.5","0.5","2.1","12.4","14.3","16.8","8.9","109.5","105.3"
"","Aaron Wiggins","Okc","G","25.9","22","21.1","19.5","9.7","15","0.8","102","0.5","84","0.405","0.548","0.561","9.8","3.7","1.6","0.9","0.3","0.9","13.5","11.4","15.1","7.3","111.8","104.6"
"","Al Horford","Bos","C-F","38.5","17","28","13.3","11.9","6","1","34","0.618","92","0.424","0.631","0.641","9.7","5.1","2.4","0.8","0.9","1","14.8","12.1","17.1","7","125.8","108.2"
"","Tim Hardaway Jr.","Det","G-F","32.7","21","27.5","14.3","7.4","37","0.892","54","0.5","109","0.358","0.525","0.569","9.7","1.9","1.6","0.2","0","0.6","11.6","11.3","13.2","4.5","117.2","116.6"
"","Obi Toppin","Ind","F","26.8","22","20","18.4","9","23","0.87","89","0.719","72","0.306","0.602","0.625","9.7","3.7","1.6","0.6","0.4","0.7","13.4","11.4","15","7.7","121.8","114.6"
"","Caleb Martin","Phi","F","29.2","18","31.1","16.2","18.7","56","0.661","97","0.464","51","0.294","0.456","0.498","9.6","4.9","2.4","1.1","0.5","1.9","14.4","12","16.9","6.2","99.3","112.7"
"","Luguentz Dort","Okc","G","25.6","22","29.2","13.6","7.3","29","0.828","62","0.452","116","0.379","0.528","0.556","9.6","4.5","1.9","1.1","0.9","0.6","14.2","11.5","16","6","118.6","100.5"
"","Robert Williams III","Por","C-F","27.1","7","18.8","15.9","15.4","13","0.923","36","0.722","2","0.5","0.724","0.766","9.6","6","1.4","1.1","1.9","1","15.6","11","17","9.2","141.6","111.1"
"","Trendon Watford","Bro","G-F","24.1","10","18.5","24.9","17.7","30","0.833","49","0.51","25","0.28","0.48","0.55","9.6","3.3","1.3","0.5","0.4","1.6","12.9","10.9","14.2","7.5","100","102.6"
"","Isaiah Joe","Okc","G","25.4","20","22.1","16.8","5.9","10","0.7","34","0.529","126","0.389","0.572","0.578","9.5","2.8","1.7","0.8","0.3","0.5","12.3","11.2","14","6.4","118.1","103.8"
"","Peyton Watson","Den","G","22.2","20","25.2","14.9","10.7","42","0.786","94","0.543","48","0.375","0.549","0.589","9.5","3.5","1.3","0.8","1","0.9","12.9","10.8","14.2","5.6","117.1","110.7"
"","Nickeil Alexander-Walker","Min","G","26.3","21","24.3","15.9","18.5","27","0.778","61","0.59","80","0.438","0.628","0.648","9.4","2.8","2.6","1","0.4","1.5","12.2","12","14.8","6.7","118","106.6"
"","Toumani Camara","Por","F","24.6","22","31","13.8","16.6","25","0.68","89","0.461","92","0.391","0.525","0.539","9.4","5.2","2.2","1.5","0.4","1.6","14.6","11.6","16.8","6.1","107.9","111.2"
"","Jaime Jaquez Jr.","Mia","G","23.8","16","22","21.2","15.8","42","0.69","96","0.469","32","0.313","0.469","0.509","9.3","5.6","2.4","1.1","0.1","1.5","14.9","11.7","17.3","9.1","104.7","106.3"
"","Carlton Carrington","Was","G","19.4","20","28.2","16.1","19.3","25","0.8","81","0.469","86","0.349","0.497","0.522","9.3","4","4.1","1.1","0.3","2","13.3","13.4","17.4","7.6","99.4","113.9"
"","Aaron Nesmith","Ind","G-F","25.1","6","22.7","14.8","12.1","13","0.846","25","0.52","11","0.545","0.611","0.659","9.2","4","1","0.7","0.3","0.8","13.2","10.2","14.2","5.9","123.4","102.3"
"","Jay Huff","Mem","C","27.3","23","15.2","19.6","9","35","0.714","51","0.706","90","0.422","0.66","0.675","9.2","2.4","0.8","0.3","1.3","0.6","11.6","10","12.4","6.9","126.4","105.1"
"","Nic Claxton","Bro","C","25.6","17","24.8","15.3","17.2","38","0.421","104","0.654","2","0.5","0.656","0.632","9.1","7.6","2.2","0.6","1.2","1.3","16.8","11.4","19","8.6","120.9","106.3"
"","Quentin Grimes","Dal","G","24.6","21","20.6","17","15.8","38","0.684","57","0.579","76","0.434","0.62","0.638","9.1","3.7","1.5","0.8","0.2","1.2","12.8","10.6","14.2","7.2","117.4","105.1"
"","Dereck Lively II","Dal","C","20.8","18","22.9","14.2","17.6","45","0.6","98","0.694","0","0","0.694","0.692","9.1","7.6","2.3","0.6","1.6","1.2","16.6","11.3","18.9","9.5","136.4","99.6"
"","Taurean Prince","Mil","F","30.7","21","28.4","11.9","15.3","13","0.846","51","0.431","81","0.556","0.678","0.69","9","4.5","1.9","0.9","0.2","1.1","13.5","11","15.4","6","124.1","108.8"
"","Kevin Huerter","Sac","G-F","26.3","20","25.8","16.6","10.5","15","0.667","57","0.667","114","0.272","0.494","0.504","9","3.5","2","1.1","0.6","1","12.4","10.9","14.4","6.2","101.2","107.4"
"","Jalen Wilson","Bro","F","24.1","22","25","15.3","11.7","40","0.875","68","0.559","82","0.354","0.543","0.591","9","3.6","1.6","0.4","0","0.9","12.6","10.6","14.3","6","117.4","112.1"
"","Yves Missi","Nor","C","20.6","22","24.7","15.4","16","65","0.615","142","0.556","0","0","0.556","0.58","9","8","1.3","0.7","1.2","1.2","17","10.3","18.3","7.4","117.7","113.3"
"","Trentyn Flowers","Lac","F","19.7","1","14.4","31.2","9.6","1","1","7","0.571","2","0","0.444","0.477","9","4","0","0","0","1","13","9","13","0","90.9","90.6"
"","Jusuf Nurkic","Pho","C","30.3","16","24.1","19.7","24.8","52","0.673","65","0.508","47","0.298","0.482","0.53","8.9","9.9","1.3","0.9","0.6","2.3","18.9","10.3","20.2","8.1","96.3","98.9"
"","Draymond Green","Gol","F","34.8","19","28.5","14.6","25.3","48","0.604","55","0.473","72","0.403","0.547","0.567","8.8","6.2","6","1","1.1","2.3","15.1","14.8","21.1","9.7","113.1","99.3"
"","Donte DiVincenzo","Min","G","27.8","21","25.5","18.1","16.8","16","0.75","39","0.436","139","0.331","0.483","0.497","8.8","3","3.5","1.3","0.2","1.7","11.8","12.3","15.3","7.1","100.1","105.6"
"","Gary Trent Jr.","Mil","G","25.9","19","25.6","14.9","7","18","0.889","50","0.4","96","0.385","0.517","0.542","8.8","2.1","1","0.9","0.1","0.6","10.9","9.8","11.9","4.1","106.6","109"
"","Kevin Porter Jr.","Lac","G-F","24.6","21","18.7","27.5","20.8","35","0.629","137","0.496","49","0.184","0.438","0.459","8.8","3.5","2.8","0.9","0.3","2.3","12.3","11.6","15.1","9.5","88.1","104.5"
"","Jalen Duren","Det","C","21.1","22","24","15.1","28","66","0.576","113","0.681","0","0","0.681","0.676","8.7","9.2","2.5","0.3","1.3","2","17.9","11.2","20.4","9.7","120.2","100.4"
"","Jake LaRavia","Mem","F","23.1","23","23.3","14.7","18.7","56","0.696","88","0.58","51","0.392","0.583","0.614","8.7","4.8","3.7","0.8","0.7","1.4","13.5","12.4","17.2","9.2","123.5","103.9"
"","Mike Conley","Min","G","37.2","17","25.5","16.6","15.9","28","0.893","39","0.333","88","0.364","0.48","0.528","8.6","2.9","4.5","1.5","0.2","1.4","11.6","13.2","16.1","7.6","113.5","105.5"
"","Kentavious Caldwell-Pope","Orl","G","31.8","23","29.9","12.3","9.3","29","0.966","53","0.604","112","0.313","0.512","0.554","8.6","2.2","1.8","1.6","0.6","0.7","10.7","10.3","12.5","4.3","112.9","104.1"
"","Ziaire Williams","Bro","F","23.2","21","21.8","19.2","10.7","44","0.795","93","0.495","66","0.273","0.459","0.507","8.6","4.4","1.1","1","0.3","0.9","13","9.8","14.1","6.4","103.4","105.1"
"","Cody Martin","Cha","F","29.2","22","25.4","14.6","11.2","32","0.656","81","0.531","77","0.351","0.528","0.546","8.5","4.6","2.4","1","0.7","0.9","13.2","10.9","15.5","7.2","116.6","110.8"
"","Sam Hauser","Bos","F","27","18","22.7","14.6","5.8","2","1","22","0.773","107","0.364","0.585","0.589","8.5","3.5","1.1","0.8","0.2","0.4","12","9.6","13.1","5.6","120.9","108.7"
"","Georges Niang","Cle","F","31.5","23","20.2","17.7","12.3","9","0.778","55","0.655","109","0.349","0.567","0.575","8.4","3.7","1.1","0.3","0.2","1","12","9.5","13.2","6.4","106.7","103.6"
"","Julian Strawther","Den","G","22.6","20","20.2","17","11.5","34","0.794","63","0.492","67","0.388","0.538","0.576","8.4","2","1.3","0.8","0.4","0.9","10.3","9.7","11.6","5.5","111.1","105.9"
"","Jaylen Nowell","Nor","G","25.4","8","21","21.6","9.8","11","0.636","46","0.391","27","0.296","0.411","0.43","8.4","2.5","2.3","0.1","0.5","1","10.9","10.6","13.1","6.9","94.4","120.2"
"","Anthony Black","Orl","G","20.9","24","24.2","18.5","24.9","59","0.729","107","0.505","59","0.271","0.47","0.518","8.3","2.8","4.1","0.9","0.7","2.3","11.1","12.4","15.2","7.5","99.3","102.4"
"","Josh Okogie","Pho","G","26.3","11","15.4","21.6","12.1","20","0.65","43","0.558","22","0.455","0.6","0.617","8.3","3.4","0.7","1","0.1","0.8","11.6","9","12.4","7","118.3","109.1"
"","Cameron Payne","Nyk","G","30.3","17","17.8","18.9","8","11","0.818","47","0.426","68","0.441","0.565","0.58","8.2","1.9","3.4","0.7","0.4","0.6","10.1","11.5","13.5","8.4","126.5","104.8"
"","Garrison Mathews","Atl","G","28.1","18","17.9","14.7","9.5","29","0.828","15","0.4","80","0.463","0.647","0.682","8.2","1.1","1.4","0.7","0.2","0.6","9.2","9.6","10.7","5.2","131.5","111.6"
"","A.J. Green","Mil","G","25.2","20","20.5","13.9","9.4","6","0.833","9","0.667","106","0.462","0.691","0.697","8.2","2.2","1","0.6","0.1","0.6","10.4","9.2","11.4","5.1","126.1","107.7"
"","Andre Drummond","Phi","C","31.3","17","20.3","19.7","21.6","47","0.553","99","0.545","6","0.167","0.529","0.545","8.1","8.2","0.6","1.3","0.5","1.7","16.2","8.6","16.8","6.7","103.1","98.5"
"","Goga Bitadze","Orl","C-F","25.4","19","22.2","13.8","20.6","31","0.774","89","0.73","7","0","0.677","0.702","8.1","7","1.7","0.8","1.6","1.3","15.1","9.8","16.8","8.3","128.9","96.2"
"","Spencer Dinwiddie","Dal","G","31.7","21","21.2","14.8","10.9","42","0.857","46","0.457","76","0.395","0.541","0.598","8","1.7","3.1","0.6","0.3","0.7","9.7","11.1","12.9","6.6","127.9","109.7"
"","Brandin Podziemski","Gol","G","21.8","20","24.8","16.8","13.7","28","0.75","92","0.511","71","0.211","0.426","0.456","8","5","3.5","0.8","0.4","1.3","13","11.5","16.5","8.4","102.5","104.7"
"","DaQuan Jeffries","Cha","G-F","27.3","1","15.7","15.9","0","2","0.5","3","0.667","2","0.5","0.7","0.68","8","1","1","0","0","0","9","9","10","5.1","143.6","109.6"
"","Larry Nance Jr.","Atl","F-C","31.9","9","15.6","13.8","8.5","2","0.5","21","0.667","22","0.636","0.814","0.809","7.9","2.4","1.2","0.8","0.3","0.4","10.3","9.1","11.6","7.3","148.2","111.5"
"","Andrew Nembhard","Ind","G-F","24.9","9","24.5","16.9","14.9","14","0.857","49","0.449","19","0.263","0.434","0.479","7.9","1.8","4.6","1","0","1.3","9.7","12.4","14.2","6.6","103.6","114.1"
"","Moses Moody","Gol","G","22.5","21","16.5","19.7","11.4","35","0.714","54","0.5","78","0.372","0.534","0.563","7.9","2","1","0.3","0.3","0.8","9.9","8.9","10.8","6.1","108.8","107.7"
"","Brice Sensabaugh","Uta","F","21.1","15","16.4","20.6","19.1","12","0.917","33","0.485","60","0.417","0.575","0.6","7.9","2.3","0.7","0.5","0.1","1.5","10.2","8.6","10.9","5.7","103.7","118.5"
"","Jalen Smith","Chi","F-C","24.7","20","14.4","21.3","10.5","30","0.767","52","0.577","67","0.358","0.555","0.586","7.8","5.1","0.8","0.4","0.7","0.7","12.8","8.5","13.6","8.8","116.2","108.3"
"","Herbert Jones","Nor","F","26.2","5","28.9","13","14.2","6","0.5","20","0.6","16","0.25","0.5","0.505","7.8","3.4","1.8","2.2","0.4","1.2","11.2","9.6","13","5","99.7","112.8"
"","Trayce Jackson-Davis","Gol","F","24.8","21","17.2","17.3","12.2","28","0.571","121","0.612","1","0","0.607","0.61","7.8","4.9","2","0.3","0.7","0.8","12.7","9.9","14.8","9.9","124.4","105.2"
"","Talen Horton-Tucker","Chi","G","24","17","11.5","22.6","10.7","29","0.724","48","0.583","35","0.514","0.663","0.684","7.7","1.9","1.6","0.2","0.3","0.6","9.6","9.4","11.3","9.9","131.9","115.8"
"","Nikola Jovic","Mia","F","21.5","14","18.2","18","8.3","20","0.8","44","0.568","44","0.318","0.523","0.558","7.7","3.7","1.3","0.9","0.1","0.6","11.4","9","12.7","7.3","114","104.7"
"","Wendell Carter Jr.","Orl","C-F","25.6","11","25.6","12.7","14.2","28","0.714","36","0.722","24","0.167","0.533","0.581","7.6","7.6","2.3","1","0.6","0.9","15.3","9.9","17.5","8","123.2","96.6"
"","Noah Clowney","Bro","F-C","20.4","15","16.6","20.6","10.4","21","0.714","33","0.424","61","0.377","0.516","0.542","7.5","3.1","0.7","0.3","0.6","0.7","10.6","8.1","11.3","6.1","105.9","104.5"
"","Tristan da Silva","Orl","F","23.6","20","23.7","14.1","6.8","16","0.75","66","0.5","71","0.338","0.504","0.521","7.5","3.7","1.7","0.4","0.2","0.5","11.2","9.2","12.8","6.1","111.7","106.6"
"","Kyshawn George","Was","F","21","19","26.2","15","11.3","26","0.731","52","0.5","97","0.247","0.416","0.446","7.5","4.1","2.6","0.7","0.7","1","11.6","10.2","14.3","6.6","96.2","113.2"
"","Jordan Miller","Lac","G","24.9","13","15.1","22.6","13.9","22","0.773","61","0.541","19","0.263","0.506","0.546","7.5","2.2","1.2","0.4","0.2","1","9.8","8.8","11","7.2","108.4","107.4"
"","Jeremiah Robinson-Earl","Nor","F","24.1","23","20.5","15.6","12.2","25","0.88","84","0.524","59","0.322","0.507","0.542","7.3","5.2","1.2","0.7","0.1","0.9","12.4","8.4","13.6","7","113.3","115.5"
"","Kyle Filipowski","Uta","C","21.1","14","19","16.2","15.5","29","0.517","46","0.652","30","0.3","0.572","0.575","7.3","4.7","2.1","0.6","0.1","1","12","9.4","14.1","8.8","115.3","112.2"
"","Haywood Highsmith","Mia","F","28","18","25.3","10.9","9.2","13","0.692","44","0.591","54","0.426","0.617","0.627","7.2","2.9","1.2","1.2","0.8","0.6","10.2","8.4","11.4","4.6","123.1","107"
"","Tyrese Martin","Bro","F","25.8","9","14.7","16.9","8.3","5","0.8","11","0.455","33","0.515","0.693","0.703","7.2","2.2","1.1","0.3","0.2","0.4","9.4","8.3","10.6","7.1","131.6","111.1"
"","Josh Green","Cha","G","24.1","20","27","11.1","11.7","13","0.615","54","0.389","66","0.455","0.55","0.557","7","2.6","1.7","0.7","0.3","0.8","9.6","8.7","11.3","4.7","114.9","110.8"
"","Sam Merrill","Cle","G","28.6","19","19.8","14.5","7.3","8","0.875","13","0.692","101","0.356","0.553","0.566","7","1.9","1.8","0.6","0.3","0.5","8.9","8.8","10.7","5.8","116.8","106.9"
"","Isaiah Jackson","Ind","F","22.9","5","16.8","17.6","17.7","14","0.5","23","0.609","0","0","0.609","0.6","7","5.6","1","0.6","1.6","1","12.6","8","13.6","8.1","118.3","101.1"
"","JT Thor","Cle","F","22.3","2","7.2","23.6","26.9","2","1","3","1","2","1","1.2","1.19","7","1","0","1","1","1","8","7","8","0","138.3","93.6"
"","Quenton Jackson","Ind","G","26.2","14","17.1","16.5","13","17","0.706","50","0.58","23","0.391","0.582","0.603","6.9","1.9","2","0.6","0.4","0.8","8.9","8.9","10.9","6.9","119.3","110.7"
"","Cason Wallace","Okc","G","21.1","22","26.2","11.8","5.7","7","0.857","81","0.531","67","0.299","0.493","0.503","6.9","3.3","2.1","1.7","0.7","0.4","10.2","9","12.3","5.5","115.2","103"
"","Kevin Love","Mia","F-C","36.2","10","12.5","26.1","9.8","9","0.667","26","0.346","38","0.395","0.492","0.508","6.9","5.4","1.4","1.3","0.2","0.7","12.3","8.3","13.7","12","107.7","96.3"
