"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jaren Jackson Jr.","Mem","F-C","25.2","21","28.3","28.2","13.2","115","0.835","208","0.606","108","0.333","0.57","0.622","21.7","5.8","1.3","1.4","1.7","2.3","27.5","23","28.8","7.7","114.8","100.8"
"","Jalen Williams","Okc","G-F","23.6","22","31.7","27","11","76","0.816","251","0.566","113","0.389","0.571","0.601","21.7","6.1","5.1","2","0.9","2","27.8","26.8","32.9","11.1","119","98.8"
"","Brandon Miller","Cha","F","22","18","34.1","28.1","12.5","48","0.896","140","0.457","197","0.371","0.515","0.545","21.7","5.2","3.5","1.3","0.7","2.7","26.9","25.2","30.4","8.6","108","111.1"
"","James Harden","Lac","G","35.3","24","33.9","30.3","21.2","173","0.896","190","0.421","201","0.338","0.465","0.556","21.6","6.8","8.5","1.6","0.7","4.4","28.4","30.2","36.9","12.7","109.9","105.2"
"","CJ McCollum","Nor","G","33.2","10","33","27","7.1","30","0.633","99","0.545","85","0.341","0.53","0.543","21.4","3.7","3.4","1.4","0.4","1.4","25.1","24.8","28.5","7.8","110.7","116.5"
"","Zach LaVine","Chi","G","29.7","20","33.4","24.3","14.7","65","0.815","161","0.578","146","0.425","0.606","0.633","21.3","4.5","4.4","0.8","0.3","2.7","25.8","25.6","30.1","9","114.3","117.6"
"","Scottie Barnes","Tor","F-G","23.3","12","33.7","28.3","18.2","67","0.716","133","0.549","69","0.29","0.51","0.549","21.2","8.8","7.3","1.3","0.8","3.8","29.9","28.4","37.2","13.2","109.3","112"
"","Julius Randle","Min","F-C","30","21","33.4","26","15.8","123","0.813","203","0.571","101","0.356","0.559","0.614","21","6.7","4","0.8","0","2.7","27.6","25","31.7","9.9","118.3","104.8"
"","Kristaps Porzingis","Bos","F-C","29.3","4","27.3","27.8","5","23","0.826","32","0.594","25","0.36","0.57","0.626","21","7.8","1.8","1","1","0.8","28.8","22.8","30.5","9.8","129.2","103.7"
"","Ja Morant","Mem","G","25.3","13","27.7","32.6","19.4","88","0.852","146","0.521","57","0.263","0.485","0.563","20.9","4","8.5","0.9","0.4","3.8","24.9","29.4","33.4","12.9","112.6","108.8"
"","Domantas Sabonis","Sac","F-C","28.6","21","36.4","21.8","21.3","98","0.806","216","0.676","53","0.415","0.665","0.7","20.8","12.6","6.3","0.7","0.4","3.5","33.4","27.1","39.7","13","128.2","103.7"
"","Trae Young","Atl","G","26.2","22","35.7","27","22.3","137","0.891","179","0.464","183","0.306","0.461","0.54","20.7","3.9","12","1.2","0.1","4.7","24.6","32.7","36.5","11.1","109.9","114.2"
"","Darius Garland","Cle","G","24.9","22","30.1","26.5","13.1","64","0.953","180","0.533","150","0.44","0.591","0.63","20.5","2.3","6.6","1","0.2","2.3","22.8","27.1","29.4","9","124.2","108.3"
"","Pascal Siakam","Ind","F","30.7","23","34.3","22.3","9.2","82","0.78","237","0.582","100","0.41","0.592","0.621","20.1","6.3","3.7","0.9","0.3","1.5","26.5","23.8","30.1","9.1","123.6","112.8"
"","Jalen Johnson","Atl","F","23","22","36.4","22.7","16.9","70","0.757","249","0.566","100","0.36","0.559","0.583","20.1","10","5.5","1.4","1.1","3.2","30.1","25.6","35.5","11.4","110.5","110.6"
"","Jordan Poole","Was","G","25.5","18","29.8","28.6","17.9","78","0.846","141","0.468","133","0.406","0.536","0.584","20","2.1","4.9","1.8","0.4","3.3","22.1","24.9","27.1","7.9","106.3","114"
"","Joel Embiid","Phi","C-F","30.7","4","31.4","29.9","18.2","32","1","40","0.475","18","0.167","0.405","0.548","19.8","7.5","3.5","0.5","1","3.3","27.3","23.3","30.8","10.2","107","107.5"
"","Lauri Markkanen","Uta","F-C","27.5","17","32.2","22.2","8.8","89","0.854","111","0.523","117","0.385","0.55","0.612","19.2","6.5","2.2","0.7","0.1","1.3","25.8","21.5","28","8.1","126.1","117.8"
"","Michael Porter Jr.","Den","F","26.4","20","35.6","20.1","8.2","49","0.673","167","0.581","124","0.411","0.596","0.608","19","7.2","2.7","0.9","0.4","1.3","26.2","21.7","28.9","8.1","120.2","111.5"
"","Jalen Green","Hou","G","22.8","23","32.4","26.1","13.9","101","0.861","195","0.462","176","0.324","0.473","0.527","19","4.7","2.7","1.1","0.3","2.6","23.8","21.7","26.5","7.7","103.7","104.8"
"","Alperen Sengun","Hou","C","22.4","23","30.7","26.3","11.9","116","0.767","321","0.495","34","0.265","0.486","0.534","18.9","10.7","5.3","1.2","1.1","2.1","29.5","24.2","34.8","13.3","116.6","97.6"
"","Jimmy Butler","Mia","F","35.2","15","31.7","22","11.1","114","0.781","146","0.575","22","0.364","0.571","0.644","18.7","5.4","4.8","1.3","0.3","1.4","24.1","23.5","28.9","9.9","136","112.2"
"","De'Andre Hunter","Atl","F-G","27","12","27.5","23.2","9","54","0.907","80","0.55","71","0.408","0.579","0.641","18.7","4.2","1.3","0.8","0.2","1.3","22.8","19.9","24.1","6.8","122.7","109.6"
"","Cameron Johnson","Bro","F","28.8","22","32.6","20.6","6.7","71","0.901","112","0.563","167","0.431","0.613","0.654","18.5","4.3","2.9","0.9","0.5","0.9","22.8","21.4","25.7","7.5","129.6","114.9"
"","Coby White","Chi","G","24.8","21","32.5","23","15.1","70","0.871","110","0.527","182","0.379","0.553","0.595","18.3","3.7","4.5","1.1","0.2","2.5","22","22.8","26.5","8.3","111.3","115.5"
"","Derrick White","Bos","G","30.4","21","34.3","19.9","9.3","44","0.841","88","0.591","195","0.41","0.608","0.63","18.1","4.8","4.9","0.8","1","1.4","22.9","23","27.8","8.8","130.3","108.1"
"","Bradley Beal","Pho","G","31.4","13","33.3","22.3","13.2","32","0.813","99","0.596","78","0.385","0.588","0.612","18","4.2","3.3","1.2","0.7","2.1","22.2","21.3","25.5","7.6","113","110.4"
"","Bennedict Mathurin","Ind","G-F","22.5","23","32.6","22.5","14.6","124","0.847","194","0.51","92","0.402","0.54","0.608","18","6.5","1.8","0.7","0.3","2.1","24.5","19.8","26.3","7.3","113.3","113.5"
"","Dennis Schroder","Bro","G","31.2","21","33.9","24","15.2","76","0.895","160","0.481","136","0.375","0.519","0.569","17.9","3","6.3","1.2","0.2","2.5","20.8","24.2","27.1","8.2","112.5","113.7"
"","Evan Mobley","Cle","C","23.5","22","31.3","22.8","14.8","94","0.798","230","0.587","46","0.348","0.576","0.619","17.9","9.3","2.8","1.1","1.5","2.2","27.2","20.7","30","9.9","119.8","105.4"
"","Gradey Dick","Tor","G-F","21","18","32.4","22.6","11.1","70","0.9","131","0.489","125","0.352","0.508","0.563","17.9","2.9","2.1","0.9","0.3","1.8","20.9","20.1","23","5.9","111.2","115.6"
"","Jamal Murray","Den","G","27.8","17","36","22","11.1","66","0.803","158","0.475","99","0.333","0.484","0.528","17.8","4.1","6.2","1.4","0.6","1.9","21.8","24","28.1","8.5","112.2","114.2"
"","John Collins","Uta","F-C","27.2","20","29.2","24.1","17","68","0.912","193","0.575","60","0.4","0.581","0.629","17.8","8.7","2.5","1.2","0.8","2.6","26.5","20.3","29","10","117.2","109.3"
"","Shaedon Sharpe","Por","G","21.5","14","30.5","24.8","12.5","57","0.807","117","0.547","85","0.294","0.502","0.548","17.8","3.2","2.2","0.9","0.2","2.1","21","20","23.2","6.6","107.8","117.1"
